frame_index,timestamp,signal,trial
0,1761933337.9365256,pretrial,-1
1,1761933337.9866054,pretrial,-1
2,1761933338.0365095,pretrial,-1
3,1761933338.0865023,pretrial,-1
4,1761933338.136494,pretrial,-1
5,1761933338.1864924,pretrial,-1
6,1761933338.2374773,pretrial,-1
7,1761933338.2864697,pretrial,-1
8,1761933338.3374622,pretrial,-1
9,1761933338.3865051,pretrial,-1
10,1761933338.437744,pretrial,-1
11,1761933338.4887369,pretrial,-1
12,1761933338.5387356,pretrial,-1
13,1761933338.5897188,pretrial,-1
14,1761933338.6557078,pretrial,-1
15,1761933338.7057004,pretrial,-1
16,1761933338.754719,pretrial,-1
17,1761933338.8056855,pretrial,-1
18,1761933338.8547068,pretrial,-1
19,1761933338.9057024,pretrial,-1
20,1761933338.9556875,pretrial,-1
21,1761933339.005652,pretrial,-1
22,1761933339.0556455,pretrial,-1
23,1761933339.103666,pretrial,-1
24,1761933339.1576288,pretrial,-1
25,1761933339.2056508,pretrial,-1
26,1761933339.254612,pretrial,-1
27,1761933339.3046052,pretrial,-1
28,1761933339.355596,pretrial,-1
29,1761933339.4046843,pretrial,-1
30,1761933339.4556215,pretrial,-1
31,1761933339.5057724,pretrial,-1
32,1761933339.5547945,pretrial,-1
33,1761933339.605786,pretrial,-1
34,1761933339.6707766,pretrial,-1
35,1761933339.7207375,pretrial,-1
36,1761933339.7717295,pretrial,-1
37,1761933339.8217216,pretrial,-1
38,1761933339.873715,pretrial,-1
39,1761933339.9217057,pretrial,-1
40,1761933339.9716983,pretrial,-1
41,1761933340.0217216,pretrial,-1
42,1761933340.0706816,pretrial,-1
43,1761933340.121704,pretrial,-1
44,1761933340.1716654,pretrial,-1
45,1761933340.221657,pretrial,-1
46,1761933340.2716508,pretrial,-1
47,1761933340.3206422,pretrial,-1
48,1761933340.3706634,pretrial,-1
49,1761933340.420657,pretrial,-1
50,1761933340.4717796,pretrial,-1
51,1761933340.5227156,pretrial,-1
52,1761933340.574707,pretrial,-1
53,1761933340.6217003,pretrial,-1
54,1761933340.6886902,pretrial,-1
55,1761933340.736681,pretrial,-1
56,1761933340.7906728,pretrial,-1
57,1761933340.8366666,pretrial,-1
58,1761933340.8886569,pretrial,-1
59,1761933340.93765,pretrial,-1
60,1761933340.9886491,pretrial,-1
61,1761933341.0366333,pretrial,-1
62,1761933341.0886257,pretrial,-1
63,1761933341.136618,pretrial,-1
64,1761933341.1886091,pretrial,-1
65,1761933341.2386024,pretrial,-1
66,1761933341.2885926,pretrial,-1
67,1761933341.3375857,pretrial,-1
68,1761933341.3886266,pretrial,-1
69,1761933341.4365685,pretrial,-1
70,1761933341.4885604,pretrial,-1
71,1761933341.5555496,pretrial,-1
72,1761933341.6055424,pretrial,-1
73,1761933341.6575341,pretrial,-1
74,1761933341.7055252,pretrial,-1
75,1761933341.755518,pretrial,-1
76,1761933341.8055103,pretrial,-1
77,1761933341.8555028,pretrial,-1
78,1761933341.9054935,pretrial,-1
79,1761933341.9564857,pretrial,-1
80,1761933342.0044775,pretrial,-1
81,1761933342.0534701,pretrial,-1
82,1761933342.1054916,pretrial,-1
83,1761933342.1544569,pretrial,-1
84,1761933342.2044528,pretrial,-1
85,1761933342.254522,pretrial,-1
86,1761933342.30543,pretrial,-1
87,1761933342.37142,pretrial,-1
88,1761933342.4214113,pretrial,-1
89,1761933342.4714024,pretrial,-1
90,1761933342.5213947,pretrial,-1
91,1761933342.5713868,pretrial,-1
92,1761933342.620379,pretrial,-1
93,1761933342.7743556,pretrial,-1
94,1761933342.8073494,pretrial,-1
95,1761933342.8553488,pretrial,-1
96,1761933342.9053397,pretrial,-1
97,1761933342.9383302,flash,0
98,1761933342.9893224,flash,0
99,1761933343.036362,flash,0
100,1761933343.0883102,flash,0
101,1761933343.136326,flash,0
102,1761933343.1932871,flash,0
103,1761933343.2372813,flash,0
104,1761933343.2862725,flash,0
105,1761933343.3362637,flash,0
106,1761933343.4052527,flash,0
107,1761933343.4602456,posttrial,0
108,1761933343.4963264,posttrial,0
109,1761933343.5362334,posttrial,0
110,1761933343.5882235,posttrial,0
111,1761933343.638216,posttrial,0
112,1761933343.6872082,posttrial,0
113,1761933343.7372,posttrial,0
114,1761933343.788194,posttrial,0
115,1761933343.8551812,posttrial,0
116,1761933343.9071732,posttrial,0
117,1761933343.9551644,posttrial,0
118,1761933344.0051568,posttrial,0
119,1761933344.0551493,posttrial,0
120,1761933344.1031425,posttrial,0
121,1761933344.155133,posttrial,0
122,1761933344.204598,posttrial,0
123,1761933344.2546203,posttrial,0
124,1761933344.3045807,posttrial,0
125,1761933344.3546033,posttrial,0
126,1761933344.408565,posttrial,0
127,1761933344.453557,posttrial,0
128,1761933344.5045493,posttrial,0
129,1761933344.5545409,posttrial,0
130,1761933344.6045334,posttrial,0
131,1761933344.6545255,posttrial,0
132,1761933344.7045252,posttrial,0
133,1761933344.752538,posttrial,0
134,1761933344.8205,posttrial,0
135,1761933344.8717275,posttrial,0
136,1761933344.921743,posttrial,0
137,1761933344.9717972,posttrial,0
138,1761933345.0206966,posttrial,0
139,1761933345.071689,posttrial,0
140,1761933345.1206825,posttrial,0
141,1761933345.1736727,posttrial,0
142,1761933345.221664,posttrial,0
143,1761933345.268657,posttrial,0
144,1761933345.3196492,posttrial,0
145,1761933345.3716407,posttrial,0
146,1761933345.4216332,posttrial,0
